0.0 -1.0
0.11454373 -0.61731677
0.22563758 -0.34155182
0.32939247 -0.17003022
0.42115025 -0.07717361
0.49758382 -0.01445188
0.56084454 -0.01759047
0.62940925 -0.0
0.67443215 -0.11370837
0.733823 -0.15408151
0.77352254 -0.21714001
0.80440984 -0.30877275
0.83744863 -0.34485565
0.86595207 -0.43727733
0.88212266 -0.47404016
0.91123346 -0.50932909
0.92265542 -0.56956862
0.93314729 -0.60230976
0.94900761 -0.65797759
0.9515401 -0.70379524
0.9700817 -0.70305863
0.97229756 -0.69560149
0.97980467 -0.76595706
0.98778328 -0.73258422
0.98969551 -0.75846298
0.99344265 -0.74143773
1.0 -0.71313259
